month,diesel,petrol
May-22,194.5,173.2
Apr-22,192.7,168.8
Mar-22,207.4,198.2
Feb-22,176.5,178.6
Jan-22,164.6,167
Dec-21,163,161.7
Nov-21,165.4,166.8
Oct-21,157.4,160.9
Sep-21,145.5,151.4
Aug-21,143.5,148.1
Jul-21,141.9,148.5
Jun-21,136.3,140.7
May-21,133.7,138.5
Apr-21,133.5,139.5
Mar-21,132.6,137.3
Feb-21,126.6,130.3
Jan-21,120.9,122.4
Dec-20,118.9,118.9
Nov-20,118.2,115.6
Oct-20,118.9,117.8
Sep-20,119.6,117.1
Aug-20,120.3,117.3
Jul-20,120.7,121.1
Jun-20,119.8,114.4
May-20,121.3,103.1
Apr-20,131.4,100.5
Mar-20,142.8,123.3
Feb-20,148.2,135.6
Jan-20,149.6,143.7
Dec-19,148.8,144.9
Nov-19,148.9,144.4
Oct-19,149.5,145.9
Sep-19,146.9,141.6
Aug-19,147.2,139.2
Jul-19,148.1,140
Jun-19,149.9,138.1
May-19,151.7,149.3
Apr-19,149.6,145.9
Mar-19,146.8,137.1
Feb-19,142.4,129.8
Jan-19,140.2,127.8
Dec-18,150.3,129.4
Nov-18,164,145.4
Oct-18,166.3,157.4
Sep-18,158.6,148.5
Aug-18,154.5,143.9
Jul-18,156.1,146.3
Jun-18,157.2,148.5
May-18,153.1,147.2
Apr-18,145,138.9
Mar-18,142.1,135.7
Feb-18,142.7,137.4
Jan-18,141.8,137.9
Dec-17,139.4,137.3
Nov-17,134.1,135.6
Oct-17,129,129.3
Sep-17,127.2,127.1
Aug-17,127.1,123.3
Jul-17,128.3,118.5
Jun-17,130.1,124.1
May-17,130.8,125.9
Apr-17,131.1,126.1
Mar-17,132.3,129.3
Feb-17,133.3,132.5
Jan-17,134.4,133.6
Dec-16,130.6,127.1
Nov-16,126.5,123.6
Oct-16,122.4,114.5
Sep-16,121,111.3
Aug-16,121.2,113
Jul-16,125.4,120.1
Jun-16,123.9,123.2
May-16,114.4,113.6
Apr-16,112.1,111.1
Mar-16,112.5,111.1
Feb-16,115.8,110.2
Jan-16,122.1,118.5
Dec-15,127.1,123.4
Nov-15,130.7,122.6
Oct-15,132.9,127.3
Sep-15,133.7,129.1
Aug-15,135.7,133.7
Jul-15,137.2,137.6
Jun-15,136.5,138.1
May-15,135.5,135.4
Apr-15,133.3,129.6
Mar-15,131.4,129.1
Feb-15,129.2,118.7
Jan-15,135.2,114.8
Dec-14,145,126.4
Nov-14,150.5,137.7
Oct-14,153.3,144.9
Sep-14,155.4,144.2
Aug-14,157.3,146.1
Jul-14,159.7,153.3
Jun-14,160.9,152.7
May-14,161.4,152.6
Apr-14,161.8,151.8
Mar-14,162.5,154.2
Feb-14,162.6,153.7
Jan-14,163.3,154.5
Dec-13,161.8,151.1
Nov-13,158.2,144.8
Oct-13,159.7,146.2
Sep-13,160.8,150.8
Aug-13,158.3,150.1
Jul-13,154.6,152.2
Jun-13,147.8,145.9
May-13,145.9,138
Apr-13,149.2,138.8
Mar-13,152.4,147.4
Feb-13,151.5,147.5
Jan-13,148.9,140.5
Dec-12,149.4,139.6
Nov-12,150.7,139.6
Oct-12,152.5,145.1
Sep-12,152.3,145
Aug-12,146.7,142.4
Jul-12,143.4,133.5
Jun-12,149.1,139.3
May-12,153.3,147.6
Apr-12,154.6,151.2
Mar-12,152.5,148.3
Feb-12,151.1,142.8
Jan-12,151.6,141.3
Dec-11,153.3,139
Nov-11,150.7,140.5
Oct-11,148.5,145.6
Sep-11,146,143.5
Aug-11,144.8,139.8
Jul-11,144.7,139.8
Jun-11,147.1,138.8
May-11,153,143.4
Apr-11,156.2,143.9
Mar-11,151.5,142.1
Feb-11,142,134.8
Jan-11,137,132.1
Dec-10,133.1,127.8
Nov-10,129,120.9
Oct-10,128.4,121.4
Sep-10,129,122.1
Aug-10,130.3,124.5
Jul-10,131.5,126.2
Jun-10,132.3,127.6
May-10,133,129.2
Apr-10,130.3,128.4
Mar-10,127.8,126.2
Feb-10,126.7,123
Jan-10,127.3,120
Dec-09,125.4,117.1
Nov-09,126.2,115.8
Oct-09,122.4,117
Sep-09,125.5,121.1
Aug-09,125.9,121.4
Jul-09,126.6,120.3
Jun-09,124.4,123
May-09,119.5,117.4
Apr-09,121.1,117.9
Mar-09,118.3,113.8
Feb-09,122.6,115.3
Jan-09,126.6,105.5
Dec-08,135.1,101.9
Nov-08,148.3,121.8
Oct-08,163.1,147.2
Sep-08,169.4,147.2
Aug-08,174.8,145.9
Jul-08,187.9,156.9
Jun-08,185.3,157.8
May-08,174.4,148.9
Apr-08,164.3,143.1
Mar-08,154.3,139.7
Feb-08,146.7,136.1
Jan-08,150.8,138.6
Dec-07,149.8,137.1
Nov-07,142.3,130.5
Oct-07,136.4,124.3
Sep-07,135.1,123.8
Aug-07,131.5,122.7
Jul-07,130.8,126.7
Jun-07,130.8,129.9
May-07,129.5,130.2
Apr-07,127.7,124.8
Mar-07,124.6,122.5
Feb-07,122.8,114.9
Jan-07,124.7,115.2
Dec-06,125.2,115.7
Nov-06,125.6,112.7
Oct-06,129.9,116.3
Sep-06,137.8,122.4
Aug-06,141.1,133.3
Jul-06,142.3,135
Jun-06,143.9,135.5
May-06,146.1,135.6
Apr-06,140,128.6
Mar-06,135.8,120.6
Feb-06,133.7,117.9
Jan-06,128.8,117.7
Dec-05,122.3,112.7
Nov-05,126.7,115.6
Oct-05,134.3,124.4
Sep-05,132,130.2
Aug-05,125,117.1
Jul-05,125.1,110.9
Jun-05,119.5,104.3
May-05,116.8,103.2
Apr-05,120.1,107.9
Mar-05,114.5,104.7
Feb-05,106.2,98.7
Jan-05,105.3,94.6
Dec-04,107.6,97.8
Nov-04,112.2,103.7
Oct-04,112.9,104.5
Sep-04,109.6,102
Aug-04,106.2,101
Jul-04,101.2,94.6
Jun-04,101.9,98.4
May-04,101.1,97.8
Apr-04,96.5,93
Mar-04,95,93.2
Feb-04,95.1,90.6
Jan-04,94.3,93.8
Dec-03,92.4,90.6
Nov-03,92.6,89.8
Oct-03,92.1,88.8
Sep-03,93.9,91.5
Aug-03,92.1,92.7
Jul-03,88.5,89.7
Jun-03,88.8,86.2
May-03,92.3,85.7
Apr-03,97.9,91.3
Mar-03,101.9,101.5
Feb-03,99.3,99
Jan-03,96.5,94.4
Dec-02,94.6,90.4
Nov-02,95.9,89.8
Oct-02,96,92.7
Sep-02,93.2,92.1
Aug-02,90.6,89.8
Jul-02,89.6,89.2
Jun-02,89.3,87.2
May-02,90.2,90.4
Apr-02,89.6,90.7
Mar-02,85.7,87.9
Feb-02,84.4,82.4
Jan-02,85.9,81.1
Dec-01,87.4,82.4
Nov-01,91.2,80.4
Oct-01,94.9,84.9
Sep-01,94.4,91.4
Aug-01,93.3,84.9
Jul-01,95.5,85.2
Jun-01,96.2,89.4
May-01,97.5,98.4
Apr-01,95,93.7
Mar-01,93.2,93.3
Feb-01,93.6,92.8
Jan-01,93.8,85
Dec-00,,
Nov-00,,
Oct-00,,
Sep-00,,
Aug-00,,
Jul-00,,
Jun-00,,
May-00,,
Apr-00,,
Mar-00,,
Feb-00,,
Jan-00,,
Dec-99,,
Nov-99,,
Oct-99,,
Sep-99,,
Aug-99,,
Jul-99,,
Jun-99,,
May-99,,
Apr-99,,
Mar-99,,
Feb-99,,
Jan-99,,
